범죄분류,생활비마련,유흥비마련,도박비마련,허영사치심,치부,이욕_기타,사행심,신고_고소,수사협조,증언,보복_기타,가정불화,호기심,유혹,우발적,현실불만,부주의,기타,미상
감염병의예방및관리에관한법률,22,0,0,0,0,34,4,0,0,0,0,0,0,3,7,0,94,237,78
개발제한구역의지정및관리에관한특별조치법,55,0,0,0,1,76,3,0,0,0,0,0,0,2,13,5,161,409,250
개인정보보호법,11,1,0,0,0,55,4,0,0,0,0,3,8,0,47,6,274,650,1787
건강기능식품에관한법률,12,0,0,0,0,22,1,0,0,0,0,0,0,0,1,0,63,106,112
건설기계관리법,22,0,0,0,0,26,0,0,0,0,0,0,0,1,10,1,109,255,122
건설산업기본법,26,0,0,0,3,263,19,0,0,0,0,0,1,5,6,1,135,625,580
건축법,58,0,0,0,2,280,5,0,0,0,0,0,0,1,57,4,1312,2278,1050
게임산업진흥에관한법률,1154,2,1,1,4,1037,495,0,0,0,0,1,6,13,61,0,817,2331,1474
결혼중개업의관리에관한법률,8,0,0,0,0,8,1,0,0,0,0,0,0,1,1,0,20,31,57
경범죄처벌법,27,1,0,2,3,95,11,1,0,0,2,23,22,4,2978,364,286,2366,1072
고용보험법,263,0,0,0,0,57,0,0,0,0,0,0,0,0,9,0,57,103,2950
공유수면관리및매립에관한법률,8,0,0,0,0,19,2,0,0,0,0,0,0,0,3,0,58,139,27
공유재산및물품관리법,2,0,0,0,0,10,4,0,0,0,0,0,0,0,11,0,13,47,16
공인중개사법,34,0,0,0,2,129,14,0,0,0,0,0,0,2,15,0,151,443,730
공중위생관리법,423,0,0,0,2,187,11,0,0,0,0,0,12,2,15,1,207,696,475
공직선거법,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,12,14,90
관세법,91,0,0,0,0,29,13,0,0,0,0,0,0,0,0,0,3,15,917
교통사고처리특례법,9,0,0,0,0,64,30,0,0,0,0,4,43,39,2614,3,52980,20280,128882
국가기술자격법,26,0,0,0,0,198,0,0,0,0,0,0,0,0,4,0,14,199,99
국가보안법,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,25,48
국민체육진흥법,48,7,5,0,0,114,207,0,0,0,0,0,31,1,6,0,16,164,76
국토의계획및이용에관한법률,34,0,0,1,0,139,5,0,0,0,0,0,0,6,17,3,519,918,501
근로기준법,8,0,0,0,5,220,0,3,0,0,1,0,0,0,10,1,47,2713,38141
근로자퇴직급여보장법,1,0,0,0,1,40,0,0,0,0,1,0,0,0,0,2,7,548,8141
낚시관리및육성법,10,0,0,0,0,12,2,0,0,0,0,1,0,0,1,0,60,111,20
노동조합및노동관계조정법,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,50,1219
농수산물유통및가격안정에관한법률,3,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,11,20,26
농수산물의원산지표시에관한법률,33,0,0,0,142,124,5,0,0,0,0,0,0,1,1,0,243,105,2299
농지법,23,0,0,0,0,103,6,0,0,0,0,0,1,0,11,0,142,420,360
대기환경보전법,70,0,0,0,3,78,3,0,0,0,0,1,0,1,18,0,508,630,1508
대부업등의등록및금융이용자보호에관한법률,264,5,0,0,18,528,65,0,0,0,0,0,0,6,71,0,56,985,440
도로교통법,71,0,0,2,1,30,9,1,0,0,1,2,96,16,1284,9,5244,4785,3735
도로교통법(무면허운전),62,1,0,0,1,81,37,0,0,0,0,1,487,92,2677,1,9176,9337,2910
